-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
1/0  |23/0|132|3/ 4|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
1/1  |23/1|133|3/ 5|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
1/2  |23/2|134|3/ 6|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
1/3  |23/3|135|3/ 7|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
2/0  |22/0|140|3/12|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
2/1  |22/1|141|3/13|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
2/2  |22/2|142|3/14|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
2/3  |22/3|143|3/15|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
3/0  |21/0|148|3/20|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
3/1  |21/1|149|3/21|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
3/2  |21/2|150|3/22|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
3/3  |21/3|151|3/23|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
4/0  |20/0|156|3/28|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
4/1  |20/1|157|3/29|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
4/2  |20/2|158|3/30|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
4/3  |20/3|159|3/31|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
5/0  |19/0|164|3/36|100G   |NONE|Ds|Au|YES|ENB|DWN|  NONE  |               0|               0| 
5/1  |19/1|165|3/37|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
5/2  |19/2|166|3/38|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
5/3  |19/3|167|3/39|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
6/0  |18/0|172|3/44|100G   |NONE|Ds|Au|YES|ENB|DWN|  NONE  |               0|               0| 
6/1  |18/1|173|3/45|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
6/2  |18/2|174|3/46|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
6/3  |18/3|175|3/47|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
7/0  |17/0|180|3/52|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
7/1  |17/1|181|3/53|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
7/2  |17/2|182|3/54|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
7/3  |17/3|183|3/55|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
8/0  |16/0|188|3/60|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
8/1  |16/1|189|3/61|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
8/2  |16/2|190|3/62|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
8/3  |16/3|191|3/63|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
9/0  |15/0| 56|1/56|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
9/1  |15/1| 57|1/57|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
9/2  |15/2| 58|1/58|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
9/3  |15/3| 59|1/59|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
10/0 |14/0| 48|1/48|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
10/1 |14/1| 49|1/49|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
10/2 |14/2| 50|1/50|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
10/3 |14/3| 51|1/51|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
11/0 |13/0| 40|1/40|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
11/1 |13/1| 41|1/41|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
11/2 |13/2| 42|1/42|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
11/3 |13/3| 43|1/43|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
12/0 |12/0| 32|1/32|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
12/1 |12/1| 33|1/33|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
12/2 |12/2| 34|1/34|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
12/3 |12/3| 35|1/35|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
13/0 |11/0| 24|1/24|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
13/1 |11/1| 25|1/25|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
13/2 |11/2| 26|1/26|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
13/3 |11/3| 27|1/27|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
14/0 |10/0| 16|1/16|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
14/1 |10/1| 17|1/17|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
14/2 |10/2| 18|1/18|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
14/3 |10/3| 19|1/19|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
15/0 | 9/0|  8|1/ 8|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
15/1 | 9/1|  9|1/ 9|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
15/2 | 9/2| 10|1/10|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
15/3 | 9/3| 11|1/11|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
16/0 | 8/0|  0|1/ 0|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
16/1 | 8/1|  1|1/ 1|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
16/2 | 8/2|  2|1/ 2|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
16/3 | 8/3|  3|1/ 3|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
17/0 | 7/0|  4|1/ 4|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
17/1 | 7/1|  5|1/ 5|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
17/2 | 7/2|  6|1/ 6|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
17/3 | 7/3|  7|1/ 7|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
18/0 | 6/0| 12|1/12|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
18/1 | 6/1| 13|1/13|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
18/2 | 6/2| 14|1/14|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
18/3 | 6/3| 15|1/15|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
19/0 | 5/0| 20|1/20|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
19/1 | 5/1| 21|1/21|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
19/2 | 5/2| 22|1/22|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
19/3 | 5/3| 23|1/23|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
20/0 | 4/0| 28|1/28|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
20/1 | 4/1| 29|1/29|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
20/2 | 4/2| 30|1/30|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
20/3 | 4/3| 31|1/31|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
21/0 | 3/0| 36|1/36|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
21/1 | 3/1| 37|1/37|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
21/2 | 3/2| 38|1/38|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
21/3 | 3/3| 39|1/39|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
22/0 | 2/0| 44|1/44|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
22/1 | 2/1| 45|1/45|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
22/2 | 2/2| 46|1/46|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
22/3 | 2/3| 47|1/47|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
23/0 | 1/0| 52|1/52|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
23/1 | 1/1| 53|1/53|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
23/2 | 1/2| 54|1/54|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
23/3 | 1/3| 55|1/55|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
24/0 | 0/0| 60|1/60|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
24/1 | 0/1| 61|1/61|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
24/2 | 0/2| 62|1/62|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
24/3 | 0/3| 63|1/63|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
