-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
1/0  | 8/0|  0|0/ 0|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
2/0  | 8/1|  1|0/ 1|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
3/0  | 8/2|  2|0/ 2|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
4/0  | 8/3|  3|0/ 3|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
5/0  | 7/0|  4|0/ 4|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
6/0  | 7/1|  5|0/ 5|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
7/0  | 7/2|  6|0/ 6|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
8/0  | 7/3|  7|0/ 7|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
9/0  | 6/0| 12|0/12|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
10/0 | 6/1| 13|0/13|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
11/0 | 6/2| 14|0/14|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
12/0 | 6/3| 15|0/15|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
13/0 | 4/0| 28|0/28|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
14/0 | 4/1| 29|0/29|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
15/0 | 4/2| 30|0/30|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
16/0 | 4/3| 31|0/31|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
17/0 | 2/0| 44|0/44|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
18/0 | 2/1| 45|0/45|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
19/0 | 2/2| 46|0/46|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
20/0 | 2/3| 47|0/47|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
21/0 | 0/0| 60|0/60|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
22/0 | 0/1| 61|0/61|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
23/0 | 0/2| 62|0/62|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
24/0 | 0/3| 63|0/63|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
25/0 |30/0|176|3/48|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
26/0 |30/1|177|3/49|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
27/0 |30/2|178|3/50|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
28/0 |30/3|179|3/51|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
29/0 |28/0|160|3/32|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
30/0 |28/1|161|3/33|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
31/0 |28/2|162|3/34|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
32/0 |28/3|163|3/35|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
33/0 |26/0|144|3/16|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
34/0 |26/1|145|3/17|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
